train sample numbers: 50
train label numbers: 50
network neuron numbers per layer (input layer on the far left): 
(272 22 10)
train starting...


No. 0	mean error: 2.032763858965585
No. 84	mean error: 0.44629773331872336
No. 168	mean error: 0.44608810801623194
No. 252	mean error: 0.4459880919400072
No. 336	mean error: 0.44593022238058183
No. 420	mean error: 0.445891676410313
No. 504	mean error: 0.4458633925149258
No. 588	mean error: 0.4458412195503573
No. 672	mean error: 0.4458230306903361
No. 756	mean error: 0.4458076289677703
No. 840	mean error: 0.44579428690222067
No. 924	mean error: 0.44578253391037165
No. 1008	mean error: 0.4457720495165627
No. 1092	mean error: 0.4457626058255566
No. 1176	mean error: 0.4457540347048004
No. 1260	mean error: 0.44574620814429394
No. 1344	mean error: 0.44573902601108406
No. 1428	mean error: 0.4457324081382133
No. 1512	mean error: 0.44572628905211426
No. 1596	mean error: 0.44572061435968513
No. 1680	mean error: 0.445715338209841
No. 1764	mean error: 0.44571042146865947
No. 1848	mean error: 0.44570583037945155
No. 1932	mean error: 0.4457015355593311
No. 2016	mean error: 0.4456975112338647
No. 2100	mean error: 0.44569373464324885
No. 2184	mean error: 0.44569018557420675
No. 2268	mean error: 0.4456868459855481
No. 2352	mean error: 0.4456836997046
No. 2436	mean error: 0.44568073217806947
No. 2520	mean error: 0.4456779302653022
No. 2604	mean error: 0.44567528206500284
No. 2688	mean error: 0.4456727767687047
No. 2772	mean error: 0.4456704045358657
No. 2856	mean error: 0.44566815638664403
No. 2940	mean error: 0.4456660241092715
No. 3024	mean error: 0.44566400017958024
No. 3108	mean error: 0.445662077690746
No. 3192	mean error: 0.4456602502916709
No. 3276	mean error: 0.4456585121327295
No. 3360	mean error: 0.44565685781782316
No. 3444	mean error: 0.44565528236187363
No. 3528	mean error: 0.4456537811530224
No. 3612	mean error: 0.44565234991893
No. 3696	mean error: 0.4456509846966472
No. 3780	mean error: 0.4456496818056237
No. 3864	mean error: 0.44564843782347346
No. 3948	mean error: 0.445647249564169
No. 4032	mean error: 0.44564611405838916
No. 4116	mean error: 0.44564502853576893
No. 4200	mean error: 0.44564399040884844
No. 4284	mean error: 0.4456429972585278
No. 4368	mean error: 0.4456420468208711
No. 4452	mean error: 0.44564113697511354
No. 4536	mean error: 0.4456402657327484
No. 4620	mean error: 0.4456394312275843
No. 4704	mean error: 0.44563863170667106
No. 4788	mean error: 0.44563786552200924
No. 4872	mean error: 0.4456371311229697
No. 4956	mean error: 0.44563642704934786
No. 5040	mean error: 0.4456357519249982
No. 5124	mean error: 0.44563510445198895
No. 5208	mean error: 0.4456344834052318
No. 5292	mean error: 0.44563388762754386
No. 5376	mean error: 0.4456333160250959
No. 5460	mean error: 0.44563276756322073
No. 5544	mean error: 0.44563224126254397
No. 5628	mean error: 0.44563173619541
No. 5712	mean error: 0.4456312514825785
No. 5796	mean error: 0.445630786290168
No. 5880	mean error: 0.4456303398268235
No. 5964	mean error: 0.4456299113410941
No. 6048	mean error: 0.44562950011899594
No. 6132	mean error: 0.4456291054817524
No. 6216	mean error: 0.4456287267836923
No. 6300	mean error: 0.44562836341029516
No. 6384	mean error: 0.44562801477637426
No. 6468	mean error: 0.44562768032437816
No. 6552	mean error: 0.4456273595228138
No. 6636	mean error: 0.44562705186477153
No. 6720	mean error: 0.445626756866548
No. 6804	mean error: 0.4456264740663615
No. 6888	mean error: 0.4456262030231494
No. 6972	mean error: 0.4456259433154415
No. 7056	mean error: 0.44562569454031
No. 7140	mean error: 0.4456254563123794
No. 7224	mean error: 0.4456252282629039
No. 7308	mean error: 0.4456250100388976
No. 7392	mean error: 0.44562480130232124
No. 7476	mean error: 0.4456246017293159
No. 7560	mean error: 0.44562441100948513
No. 7644	mean error: 0.44562422884521674
No. 7728	mean error: 0.4456240549510473
No. 7812	mean error: 0.44562388905306394
No. 7896	mean error: 0.4456237308883379
No. 7980	mean error: 0.44562358020439397
No. 8064	mean error: 0.44562343675870797
No. 8148	mean error: 0.44562330031823366
No. 8232	mean error: 0.44562317065895557
No. 8316	mean error: 0.4456230475654666
No. 8400	mean error: 0.44562293083056964
No. 8484	mean error: 0.4456228202548994
No. 8568	mean error: 0.44562271564656664
No. 8652	mean error: 0.44562261682081855
No. 8736	mean error: 0.44562252359972215
No. 8820	mean error: 0.44562243581185745
No. 8904	mean error: 0.4456223532920329
No. 8988	mean error: 0.4456222758810125
No. 9072	mean error: 0.44562220342525727
No. 9156	mean error: 0.4456221357766795
No. 9240	mean error: 0.44562207279241184
No. 9324	mean error: 0.4456220143345853
No. 9408	mean error: 0.4456219602701179
No. 9492	mean error: 0.44562191047051664
No. 9576	mean error: 0.4456218648116881
No. 9660	mean error: 0.44562182317375565
No. 9744	mean error: 0.4456217854408894
No. 9828	mean error: 0.4456217515011414
No. 9912	mean error: 0.4456217212462906
No. 9996	mean error: 0.4456216945716936
No. 10080	mean error: 0.4456216713761435
No. 10164	mean error: 0.44562165156173394
No. 10248	mean error: 0.44562163503373237
No. 10332	mean error: 0.44562162170045433
No. 10416	mean error: 0.4456216114731489
No. 10500	mean error: 0.44562160426588415
No. 10584	mean error: 0.44562159999544343
No. 10668	mean error: 0.44562159858121925
No. 10752	mean error: 0.4456215999451175
No. 10836	mean error: 0.4456216040114662
No. 10920	mean error: 0.4456216107069214
No. 11004	mean error: 0.44562161996038624
No. 11088	mean error: 0.44562163170292624
No. 11172	mean error: 0.4456216458676922
No. 11256	mean error: 0.4456216623898452
No. 11340	mean error: 0.44562168120648443
No. 11424	mean error: 0.4456217022565787
No. 11508	mean error: 0.44562172548090095
No. 11592	mean error: 0.44562175082196326
No. 11676	mean error: 0.44562177822395843
No. 11760	mean error: 0.4456218076327002
No. 11844	mean error: 0.4456218389955688
No. 11928	mean error: 0.44562187226145594
No. 12012	mean error: 0.44562190738071494
No. 12096	mean error: 0.44562194430511026
No. 12180	mean error: 0.44562198298777034
No. 12264	mean error: 0.44562202338314194
No. 12348	mean error: 0.4456220654469479
No. 12432	mean error: 0.4456221091361424
No. 12516	mean error: 0.4456221544088727
No. 12600	mean error: 0.44562220122443896
No. 12684	mean error: 0.44562224954325835
No. 12768	mean error: 0.4456222993268267
No. 12852	mean error: 0.44562235053768684
No. 12936	mean error: 0.44562240313939183
No. 13020	mean error: 0.4456224570964766
No. 13104	mean error: 0.44562251237442413
No. 13188	mean error: 0.4456225689396367
No. 13272	mean error: 0.445622626759408
No. 13356	mean error: 0.44562268580189346
No. 13440	mean error: 0.44562274603608637
No. 13524	mean error: 0.4456228074317901
No. 13608	mean error: 0.4456228699595934
No. 13692	mean error: 0.4456229335908483
No. 13776	mean error: 0.4456229982976448
No. 13860	mean error: 0.4456230640527907
No. 13944	mean error: 0.44562313082978855
No. 14028	mean error: 0.4456231986028159
No. 14112	mean error: 0.44562326734670504
No. 14196	mean error: 0.44562333703692425
No. 14280	mean error: 0.44562340764955743
No. 14364	mean error: 0.4456234791612887
No. 14448	mean error: 0.44562355154938266
No. 14532	mean error: 0.4456236247916692
No. 14616	mean error: 0.44562369886652653
No. 14700	mean error: 0.4456237737528656
No. 14784	mean error: 0.4456238494301147
No. 14868	mean error: 0.4456239258782058
No. 14952	mean error: 0.44562400307755917
No. 15036	mean error: 0.4456240810090702
No. 15120	mean error: 0.4456241596540961
No. 15204	mean error: 0.4456242389944427
No. 15288	mean error: 0.44562431901235305
No. 15372	mean error: 0.44562439969049417
No. 15456	mean error: 0.4456244810119464
No. 15540	mean error: 0.445624562960191
No. 15624	mean error: 0.44562464551910064
No. 15708	mean error: 0.44562472867292746
No. 15792	mean error: 0.44562481240629415
No. 15876	mean error: 0.4456248967041826
No. 15960	mean error: 0.44562498155192576
No. 16044	mean error: 0.44562506693519693
No. 16128	mean error: 0.44562515284000204
No. 16212	mean error: 0.4456252392526699
No. 16296	mean error: 0.44562532615984396
No. 16380	mean error: 0.44562541354847424
No. 16464	mean error: 0.44562550140581003
No. 16548	mean error: 0.4456255897193903
No. 16632	mean error: 0.44562567847703827
No. 16716	mean error: 0.4456257676668525
No. 16800	mean error: 0.4456258572772007
No. 16884	mean error: 0.4456259472967129
No. 16968	mean error: 0.44562603771427434
No. 17052	mean error: 0.4456261285190194
No. 17136	mean error: 0.4456262197003251
No. 17220	mean error: 0.44562631124780516
No. 17304	mean error: 0.44562640315130314
No. 17388	mean error: 0.4456264954008892
No. 17472	mean error: 0.44562658798685134
No. 17556	mean error: 0.44562668089969226
No. 17640	mean error: 0.4456267741301232
No. 17724	mean error: 0.4456268676690588
No. 17808	mean error: 0.4456269615076128
No. 17892	mean error: 0.4456270556370918
No. 17976	mean error: 0.4456271500489922
No. 18060	mean error: 0.4456272447349947
No. 18144	mean error: 0.4456273396869599
No. 18228	mean error: 0.44562743489692386
No. 18312	mean error: 0.4456275303570949
No. 18396	mean error: 0.44562762605984874
No. 18480	mean error: 0.4456277219977236
No. 18564	mean error: 0.44562781816341795
No. 18648	mean error: 0.445627914549786
No. 18732	mean error: 0.44562801114983486
No. 18816	mean error: 0.44562810795671864
No. 18900	mean error: 0.44562820496373795
No. 18984	mean error: 0.445628302164335
No. 19068	mean error: 0.44562839955208994
No. 19152	mean error: 0.4456284971207186
No. 19236	mean error: 0.44562859486406914
No. 19320	mean error: 0.44562869277611883
No. 19404	mean error: 0.44562879085097007
No. 19488	mean error: 0.44562888908285037
No. 19572	mean error: 0.44562898746610685
No. 19656	mean error: 0.4456290859952037
No. 19740	mean error: 0.4456291846647219
No. 19824	mean error: 0.44562928346935365
No. 19908	mean error: 0.44562938240390193
No. 19992	mean error: 0.4456294814632766
No. 20076	mean error: 0.4456295806424934
No. 20160	mean error: 0.44562967993667074
No. 20244	mean error: 0.4456297793410271
No. 20328	mean error: 0.4456298788508798
No. 20412	mean error: 0.4456299784616425
No. 20496	mean error: 0.445630078168822
No. 20580	mean error: 0.44563017796801846
No. 20664	mean error: 0.44563027785492054
No. 20748	mean error: 0.4456303778253065
No. 20832	mean error: 0.44563047787504007
No. 20916	mean error: 0.4456305780000684
No. 21000	mean error: 0.4456306781964227
No. 21084	mean error: 0.4456307784602137
No. 21168	mean error: 0.44563087878763147
No. 21252	mean error: 0.4456309791749433
No. 21336	mean error: 0.44563107961849263
No. 21420	mean error: 0.44563118011469594
No. 21504	mean error: 0.44563128066004265
No. 21588	mean error: 0.4456313812510939
No. 21672	mean error: 0.44563148188447854
No. 21756	mean error: 0.4456315825568953
No. 21840	mean error: 0.44563168326510777
No. 21924	mean error: 0.4456317840059462
No. 22008	mean error: 0.4456318847763031
No. 22092	mean error: 0.445631985573135
No. 22176	mean error: 0.44563208639345864
No. 22260	mean error: 0.44563218723435055
No. 22344	mean error: 0.4456322880929467
No. 22428	mean error: 0.4456323889664403
No. 22512	mean error: 0.44563248985208004
No. 22596	mean error: 0.44563259074717104
No. 22680	mean error: 0.4456326916490714
No. 22764	mean error: 0.445632792555193
No. 22848	mean error: 0.4456328934629984
No. 22932	mean error: 0.4456329943700025
No. 23016	mean error: 0.4456330952737681
No. 23100	mean error: 0.4456331961719088
No. 23184	mean error: 0.4456332970620845
No. 23268	mean error: 0.44563339794200213
No. 23352	mean error: 0.4456334988094152
No. 23436	mean error: 0.44563359966212146
No. 23520	mean error: 0.445633700497963
No. 23604	mean error: 0.4456338013148253
No. 23688	mean error: 0.44563390211063575
No. 23772	mean error: 0.445634002883364
No. 23856	mean error: 0.4456341036310192
No. 23940	mean error: 0.44563420435165146
No. 24024	mean error: 0.4456343050433496
No. 24108	mean error: 0.4456344057042406
No. 24192	mean error: 0.4456345063324889
No. 24276	mean error: 0.4456346069262968
No. 24360	mean error: 0.4456347074839012
No. 24444	mean error: 0.4456348080035756
No. 24528	mean error: 0.44563490848362763
No. 24612	mean error: 0.4456350089223995
No. 24696	mean error: 0.4456351093182661
No. 24780	mean error: 0.44563520966963593
No. 24864	mean error: 0.4456353099749485
No. 24948	mean error: 0.4456354102326764
No. 25032	mean error: 0.4456355104413219
No. 25116	mean error: 0.4456356105994177
No. 25200	mean error: 0.44563571070552677
No. 25284	mean error: 0.4456358107582408
No. 25368	mean error: 0.44563591075618014
No. 25452	mean error: 0.4456360106979937
No. 25536	mean error: 0.4456361105823574
No. 25620	mean error: 0.4456362104079739
No. 25704	mean error: 0.44563631017357364
No. 25788	mean error: 0.4456364098779115
No. 25872	mean error: 0.44563650951976924
No. 25956	mean error: 0.4456366090979526
No. 26040	mean error: 0.44563670861129273
No. 26124	mean error: 0.44563680805864403
No. 26208	mean error: 0.44563690743888534
No. 26292	mean error: 0.4456370067509187
No. 26376	mean error: 0.4456371059936681
No. 26460	mean error: 0.44563720516608074
No. 26544	mean error: 0.44563730426712567
No. 26628	mean error: 0.44563740329579304
No. 26712	mean error: 0.4456375022510946
No. 26796	mean error: 0.4456376011320622
No. 26880	mean error: 0.4456376999377494
No. 26964	mean error: 0.4456377986672283
No. 27048	mean error: 0.4456378973195914
No. 27132	mean error: 0.4456379958939501
No. 27216	mean error: 0.445638094389435
No. 27300	mean error: 0.44563819280519545
No. 27384	mean error: 0.44563829114039843
No. 27468	mean error: 0.44563838939422945
No. 27552	mean error: 0.4456384875658911
No. 27636	mean error: 0.4456385856546036
No. 27720	mean error: 0.4456386836596034
No. 27804	mean error: 0.4456387815801453
No. 27888	mean error: 0.4456388794154978
No. 27972	mean error: 0.4456389771649482
No. 28056	mean error: 0.44563907482779713
No. 28140	mean error: 0.44563917240336276
No. 28224	mean error: 0.4456392698909768
No. 28308	mean error: 0.4456393672899871
No. 28392	mean error: 0.4456394645997548
No. 28476	mean error: 0.4456395618196573
No. 28560	mean error: 0.44563965894908414
No. 28644	mean error: 0.4456397559874402
No. 28728	mean error: 0.44563985293414293
No. 28812	mean error: 0.44563994978862437
No. 28896	mean error: 0.44564004655032824
No. 28980	mean error: 0.44564014321871226
No. 29064	mean error: 0.44564023979324674
No. 29148	mean error: 0.44564033627341354
No. 29232	mean error: 0.44564043265870756
No. 29316	mean error: 0.44564052894863593
No. 29400	mean error: 0.445640625142717
No. 29484	mean error: 0.44564072124048093
No. 29568	mean error: 0.44564081724146903
No. 29652	mean error: 0.4456409131452339
No. 29736	mean error: 0.44564100895133996
No. 29820	mean error: 0.4456411046593609
No. 29904	mean error: 0.4456412002688822
No. 29988	mean error: 0.4456412957794989
No. 30072	mean error: 0.44564139119081747
No. 30156	mean error: 0.445641486502453
No. 30240	mean error: 0.4456415817140315
No. 30324	mean error: 0.4456416768251883
No. 30408	mean error: 0.44564177183556813
No. 30492	mean error: 0.4456418667448256
No. 30576	mean error: 0.44564196155262364
No. 30660	mean error: 0.4456420562586352
No. 30744	mean error: 0.4456421508625414
No. 30828	mean error: 0.4456422453640322
No. 30912	mean error: 0.4456423397628068
No. 30996	mean error: 0.4456424340585717
No. 31080	mean error: 0.4456425282510426
No. 31164	mean error: 0.4456426223399435
No. 31248	mean error: 0.4456427163250048
No. 31332	mean error: 0.44564281020596647
No. 31416	mean error: 0.44564290398257556
No. 31500	mean error: 0.44564299765458687
No. 31584	mean error: 0.44564309122176204
No. 31668	mean error: 0.445643184683871
No. 31752	mean error: 0.4456432780406899
No. 31836	mean error: 0.44564337129200254
No. 31920	mean error: 0.44564346443759995
No. 32004	mean error: 0.4456435574772791
No. 32088	mean error: 0.44564365041084436
No. 32172	mean error: 0.445643743238106
No. 32256	mean error: 0.44564383595888174
No. 32340	mean error: 0.445643928572995
No. 32424	mean error: 0.4456440210802758
No. 32508	mean error: 0.4456441134805597
No. 32592	mean error: 0.4456442057736893
No. 32676	mean error: 0.4456442979595118
No. 32760	mean error: 0.44564439003788114
No. 32844	mean error: 0.44564448200865714
No. 32928	mean error: 0.4456445738717047
No. 33012	mean error: 0.4456446656268946
No. 33096	mean error: 0.44564475727410297
No. 33180	mean error: 0.44564484881321065
No. 33264	mean error: 0.4456449402441052
No. 33348	mean error: 0.4456450315666777
No. 33432	mean error: 0.4456451227808256
No. 33516	mean error: 0.4456452138864503
No. 33600	mean error: 0.44564530488345894
No. 33684	mean error: 0.44564539577176254
No. 33768	mean error: 0.44564548655127845
No. 33852	mean error: 0.4456455772219268
No. 33936	mean error: 0.4456456677836331
No. 34020	mean error: 0.4456457582363276
No. 34104	mean error: 0.4456458485799448
No. 34188	mean error: 0.4456459388144232
No. 34272	mean error: 0.4456460289397057
No. 34356	mean error: 0.44564611895573963
No. 34440	mean error: 0.44564620886247625
No. 34524	mean error: 0.4456462986598708
No. 34608	mean error: 0.4456463883478826
No. 34692	mean error: 0.4456464779264747
No. 34776	mean error: 0.4456465673956141
No. 34860	mean error: 0.44564665675527193
No. 34944	mean error: 0.4456467460054224
No. 35028	mean error: 0.44564683514604303
No. 35112	mean error: 0.4456469241771164
No. 35196	mean error: 0.445647013098627
No. 35280	mean error: 0.4456471019105637
No. 35364	mean error: 0.44564719061291824
No. 35448	mean error: 0.44564727920568636
No. 35532	mean error: 0.44564736768886604
No. 35616	mean error: 0.44564745606245965
No. 35700	mean error: 0.4456475443264717
No. 35784	mean error: 0.4456476324809103
No. 35868	mean error: 0.4456477205257865
No. 35952	mean error: 0.44564780846111435
No. 36036	mean error: 0.44564789628691104
No. 36120	mean error: 0.4456479840031959
No. 36204	mean error: 0.44564807160999215
No. 36288	mean error: 0.44564815910732514
No. 36372	mean error: 0.4456482464952228
No. 36456	mean error: 0.44564833377371643
No. 36540	mean error: 0.44564842094283946
No. 36624	mean error: 0.4456485080026276
No. 36708	mean error: 0.44564859495312
No. 36792	mean error: 0.44564868179435746
No. 36876	mean error: 0.4456487685263837
No. 36960	mean error: 0.44564885514924496
No. 37044	mean error: 0.4456489416629893
No. 37128	mean error: 0.44564902806766765
No. 37212	mean error: 0.4456491143633326
No. 37296	mean error: 0.4456492005500399
No. 37380	mean error: 0.44564928662784675
No. 37464	mean error: 0.4456493725968123
No. 37548	mean error: 0.4456494584569988
No. 37632	mean error: 0.4456495442084696
No. 37716	mean error: 0.445649629851291
No. 37800	mean error: 0.4456497153855304
No. 37884	mean error: 0.44564980081125766
No. 37968	mean error: 0.4456498861285448
No. 38052	mean error: 0.4456499713374649
No. 38136	mean error: 0.445650056438094
No. 38220	mean error: 0.4456501414305088
No. 38304	mean error: 0.445650226314789
No. 38388	mean error: 0.4456503110910151
No. 38472	mean error: 0.44565039575926974
No. 38556	mean error: 0.445650480319637
No. 38640	mean error: 0.44565056477220333
No. 38724	mean error: 0.44565064911705576
No. 38808	mean error: 0.44565073335428385
No. 38892	mean error: 0.445650817483978
No. 38976	mean error: 0.44565090150623055
No. 39060	mean error: 0.4456509854211353
No. 39144	mean error: 0.44565106922878805
No. 39228	mean error: 0.4456511529292851
No. 39312	mean error: 0.44565123652272426
No. 39396	mean error: 0.4456513200092055
No. 39480	mean error: 0.4456514033888295
No. 39564	mean error: 0.44565148666169885
No. 39648	mean error: 0.44565156982791687
No. 39732	mean error: 0.44565165288758846
No. 39816	mean error: 0.44565173584081974
No. 39900	mean error: 0.4456518186877186
No. 39984	mean error: 0.4456519014283928
No. 40068	mean error: 0.44565198406295276
No. 40152	mean error: 0.4456520665915092
No. 40236	mean error: 0.44565214901417455
No. 40320	mean error: 0.44565223133106135
No. 40404	mean error: 0.44565231354228446
No. 40488	mean error: 0.4456523956479592
No. 40572	mean error: 0.44565247764820204
No. 40656	mean error: 0.4456525595431307
No. 40740	mean error: 0.44565264133286314
No. 40824	mean error: 0.4456527230175195
No. 40908	mean error: 0.44565280459721995
No. 40992	mean error: 0.44565288607208603
No. 41076	mean error: 0.44565296744223987
No. 41160	mean error: 0.44565304870780503
No. 41244	mean error: 0.4456531298689055
No. 41328	mean error: 0.4456532109256665
No. 41412	mean error: 0.4456532918782137
No. 41496	mean error: 0.445653372726674
No. 41580	mean error: 0.44565345347117485
No. 41664	mean error: 0.44565353411184483
No. 41748	mean error: 0.44565361464881303
No. 41832	mean error: 0.4456536950822088
No. 41916	mean error: 0.44565377541216367
No. 42000	mean error: 0.4456538556388084
No. 42084	mean error: 0.44565393576227535
No. 42168	mean error: 0.445654015782697
No. 42252	mean error: 0.4456540957002073
No. 42336	mean error: 0.44565417551494035
No. 42420	mean error: 0.4456542552270305
No. 42504	mean error: 0.4456543348366136
No. 42588	mean error: 0.44565441434382547
No. 42672	mean error: 0.44565449374880267
No. 42756	mean error: 0.4456545730516829
No. 42840	mean error: 0.4456546522526035
No. 42924	mean error: 0.4456547313517033
No. 43008	mean error: 0.44565481034912097
No. 43092	mean error: 0.44565488924499574
No. 43176	mean error: 0.44565496803946836
No. 43260	mean error: 0.44565504673267886
No. 43344	mean error: 0.4456551253247681
No. 43428	mean error: 0.4456552038158778
No. 43512	mean error: 0.4456552822061499
No. 43596	mean error: 0.4456553604957269
No. 43680	mean error: 0.4456554386847516
No. 43764	mean error: 0.445655516773367
No. 43848	mean error: 0.44565559476171723
No. 43932	mean error: 0.4456556726499458
No. 44016	mean error: 0.44565575043819833
No. 44100	mean error: 0.44565582812661914
No. 44184	mean error: 0.4456559057153534
No. 44268	mean error: 0.44565598320454675
No. 44352	mean error: 0.4456560605943452
No. 44436	mean error: 0.44565613788489544
No. 44520	mean error: 0.44565621507634406
No. 44604	mean error: 0.44565629216883806
No. 44688	mean error: 0.4456563691625241
No. 44772	mean error: 0.44565644605755095
No. 44856	mean error: 0.4456565228540659
No. 44940	mean error: 0.445656599552217
No. 45024	mean error: 0.4456566761521534
No. 45108	mean error: 0.4456567526540234
No. 45192	mean error: 0.4456568290579757
No. 45276	mean error: 0.4456569053641603
No. 45360	mean error: 0.4456569815727262
No. 45444	mean error: 0.44565705768382285
No. 45528	mean error: 0.4456571336976011
No. 45612	mean error: 0.44565720961421007
No. 45696	mean error: 0.4456572854338011
No. 45780	mean error: 0.445657361156524
No. 45864	mean error: 0.44565743678253
No. 45948	mean error: 0.44565751231196943
No. 46032	mean error: 0.4456575877449938
No. 46116	mean error: 0.4456576630817544
No. 46200	mean error: 0.44565773832240313
No. 46284	mean error: 0.4456578134670902
No. 46368	mean error: 0.4456578885159685
No. 46452	mean error: 0.44565796346918946
